Shortname,Name,Paper,Yield Stress,Temperature C,Strain rate /s,Compression/Tension,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-36.4Ni-4.7Al-15.2Cr-1.2W-5.2Ti-1.0Ta-2.1Mo,CoNi-2Mo1W2Ti,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",637,25,0.0001,1,compression,966,34.2,36.4,4.7,15.2,1.2,5.2,1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-36.4Ni-4.7Al-15.2Cr-1.2W-5.2Ti-1.0Ta-2.1Mo,CoNi-2Mo1W2Ti,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",495,600,0.0001,1,compression,966,34.2,36.4,4.7,15.2,1.2,5.2,1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-36.4Ni-4.7Al-15.2Cr-1.2W-5.2Ti-1.0Ta-2.1Mo,CoNi-2Mo1W2Ti,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",473,750,0.0001,1,compression,966,34.2,36.4,4.7,15.2,1.2,5.2,1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-36.4Ni-4.7Al-15.2Cr-1.2W-5.2Ti-1.0Ta-2.1Mo,CoNi-2Mo1W2Ti,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",520,850,0.0001,1,compression,966,34.2,36.4,4.7,15.2,1.2,5.2,1,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.4Ni-4.5Al-15.7Cr-1.1W-7.4Ti-1.8Mo,CoNi-2Mo1W1Ta,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",744,25,0.0001,1,compression,967,35.1,34.4,4.5,15.7,1.1,7.4,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.4Ni-4.5Al-15.7Cr-1.1W-7.4Ti-1.8Mo,CoNi-2Mo1W1Ta,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",633,600,0.0001,1,compression,967,35.1,34.4,4.5,15.7,1.1,7.4,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.4Ni-4.5Al-15.7Cr-1.1W-7.4Ti-1.8Mo,CoNi-2Mo1W1Ta,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",562,750,0.0001,1,compression,967,35.1,34.4,4.5,15.7,1.1,7.4,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.4Ni-4.5Al-15.7Cr-1.1W-7.4Ti-1.8Mo,CoNi-2Mo1W1Ta,"Liang, Z., Paul, J. D. H., Stark, A., Bezold, A., Neumeier, S., Göken, M., & Pyczak, F. (2022). High-Temperature CoNi-Based Superalloys Strengthened by ??-(Ni,Co)3(Cr,Al,Ti,X): The Effect of Refractory Elements. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06795-y",561,850,0.0001,1,compression,967,35.1,34.4,4.5,15.7,1.1,7.4,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",1020,25,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",737,600,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",751,700,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",863,750,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",752,800,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",548,900,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.0W-4.0Ti-2.0Ta-10.0V,Co-4Ti-10V-2W-2Ta,"Liu, X., Chen, Z., Chen, Y., Yang, S., Pan, Y., Lu, Y., Qu, S., Li, Y., Yang, Y., & Wang, C. (2021). Multicomponent Co-Ti-based superalloy with high solvus temperature and low lattice misfit. Materials Letters, 284. https://doi.org/10.1016/j.matlet.2020.128910",363,995,0.0001,1,compression,978,82,0,0,0,2,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V,base,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",533,25,0.0001,1,compression,989,53,30,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V,base,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",606,600,0.0001,1,compression,989,53,30,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V,base,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",502,700,0.0001,1,compression,989,53,30,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V,base,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",445,800,0.0001,1,compression,989,53,30,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V,base,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",269,900,0.0001,1,compression,989,53,30,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-2.0Ta-5.0V,2Ti,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",583,25,0.0001,1,compression,990,51,30,10,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-2.0Ta-5.0V,2Ti,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",560,600,0.0001,1,compression,990,51,30,10,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-2.0Ta-5.0V,2Ti,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",582,700,0.0001,1,compression,990,51,30,10,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-2.0Ta-5.0V,2Ti,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",461,800,0.0001,1,compression,990,51,30,10,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-2.0Ta-5.0V,2Ti,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",323,900,0.0001,1,compression,990,51,30,10,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-2.0Nb-5.0V,2Nb,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",542,25,0.0001,1,compression,991,51,30,10,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-2.0Nb-5.0V,2Nb,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",511,600,0.0001,1,compression,991,51,30,10,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-2.0Nb-5.0V,2Nb,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",618,700,0.0001,1,compression,991,51,30,10,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-2.0Nb-5.0V,2Nb,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",524,800,0.0001,1,compression,991,51,30,10,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-2.0Nb-5.0V,2Nb,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",352,900,0.0001,1,compression,991,51,30,10,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V-2.0Mo,2Mo,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",498,25,0.0001,1,compression,992,51,30,10,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V-2.0Mo,2Mo,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",463,600,0.0001,1,compression,992,51,30,10,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V-2.0Mo,2Mo,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",539,700,0.0001,1,compression,992,51,30,10,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V-2.0Mo,2Mo,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",460,800,0.0001,1,compression,992,51,30,10,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ta-5.0V-2.0Mo,2Mo,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",210,900,0.0001,1,compression,992,51,30,10,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0W-2.0Ta-5.0V,2W,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",467,25,0.0001,1,compression,993,51,30,10,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0W-2.0Ta-5.0V,2W,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",473,600,0.0001,1,compression,993,51,30,10,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0W-2.0Ta-5.0V,2W,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",573,700,0.0001,1,compression,993,51,30,10,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0W-2.0Ta-5.0V,2W,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",404,800,0.0001,1,compression,993,51,30,10,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0W-2.0Ta-5.0V,2W,"Liu, X., Cai, W., Chen, Z., Chen, Y., Chen, X., Yang, S., Lu, Y., Han, J., & Wang, C. (2022). Effects of alloying additions on the microstructure, lattice misfit, and solvus temperature of a novel Co–Ni-based superalloy. Intermetallics, 141. https://doi.org/10.1016/j.intermet.2021.107431",260,900,0.0001,1,compression,993,51,30,10,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",540,650,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",632,750,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",674,850,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",524,950,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",282,25,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",533,650,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",624,750,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",677,850,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",597,950,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",478,450,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",574,550,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",738,650,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-11.7Al-5.5W-4.1Ti-2.5Ta-0.08B,L26,"Long, F. R., Baik, S. I., Chung, D. W., Xue, F., Lass, E. A., Seidman, D. N., & Dunand, D. C. (2020). Microstructure and creep performance of a multicomponent co-based L12–ordered intermetallic alloy. Acta Materialia, 196, 396–408. https://doi.org/10.1016/j.actamat.2020.06.050",709,750,0.0001,1,compression,1001,46.15,29.99,11.74,0,5.48,4.06,2.5,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
